project_name,property_type,unit_label,builder,location_city,location_area,location_pincode,latitude,longitude,bhk,bedrooms,carpet_area_sqft,built_up_area_sqft,plot_area_sqft,super_built_up_sqft,commercial_area_sqft,price,price_min,price_max,price_per_sqft,price_per_cent,maintenance_monthly,maintenance_per_sqft,facing,floor_number,tower_name,possession_date,status,rera_number,parking,amenities,has_garden,has_pool,has_servant_room,is_corner_plot,road_width_ft,is_gated,approvals,road_frontage_ft,expected_rent_monthly,roi_percentage,gst_applicable,shutters_included,has_3phase_power,payment_plan,nearby_landmarks,visit_timings,description,brochure_url,hero_image_url
Sunset Heights,apartment,1201,Prestige Group,Bengaluru,Whitefield,560066,12.9698,77.7500,2,2,1050,1280,,1350,,8500000,8300000,8700000,8095,,5000,4.76,East,12,Tower A,Ready to move,available,PRM/KA/RERA/1251/308/PR/171019/004876,1 covered,"Clubhouse, Pool, Gym, Security, Power backup, Kids play",,,,,,,,,,,,,,,,,,"High-floor 2 BHK with city skyline view. East-facing. Ready possession."
Sunset Heights,apartment,1202,Prestige Group,Bengaluru,Whitefield,560066,12.9698,77.7500,2,2,1050,1280,,1350,,8300000,8100000,8500000,7905,,5000,4.76,West,12,Tower A,Ready to move,available,PRM/KA/RERA/1251/308/PR/171019/004876,1 covered,"Clubhouse, Pool, Gym, Security",,,,,,,,,,,,,,,,,,"Budget 2 BHK west-facing unit on same floor."
Sunset Heights,apartment,1101,Prestige Group,Bengaluru,Whitefield,560066,12.9698,77.7500,3,3,1450,1780,,1880,,12000000,11800000,12200000,8276,,6000,4.14,East,11,Tower B,Ready to move,sold,PRM/KA/RERA/1251/308/PR/171019/004876,2 covered,"Clubhouse, Pool, Gym, Security, Concierge",,,,,,,,,,,,,,,,,,"Premium 3 BHK — booked. Corner unit with wider balcony."
Sunset Heights,apartment,1102,Prestige Group,Bengaluru,Whitefield,560066,12.9698,77.7500,3,3,1450,1780,,1880,,11800000,11600000,12000000,8138,,6000,4.14,North,11,Tower B,Ready to move,available,PRM/KA/RERA/1251/308/PR/171019/004876,2 covered,"Clubhouse, Pool, Gym, Security",,,,,,,,,,,,,,,,,,"North-facing 3 BHK available for immediate move-in."
Lake Vista,apartment,801,Sobha Limited,Bengaluru,Sarjapur Road,560035,12.9020,77.7010,3,3,1650,2010,,2120,,13500000,13200000,13800000,8182,,6500,3.94,South,8,Tower C,Dec 2026,available,PRM/KA/RERA/1251/446/PR/190618/002341,2 covered,"Lake view, Clubhouse, Pool, Jogging track, Tennis",,,,,,,,,,,,,,,,,,"Lake-facing 3 BHK on 8th floor. Possession Dec 2026."
Lake Vista,apartment,802,Sobha Limited,Bengaluru,Sarjapur Road,560035,12.9020,77.7010,2,2,1100,1340,,1420,,9200000,9000000,9400000,8364,,5500,5.00,North,8,Tower C,Ready to move,available,PRM/KA/RERA/1251/446/PR/190618/002341,1 covered,"Lake view, Clubhouse, Pool",,,,,,,,,,,,,,,,,,"Compact 2 BHK north-facing. Ready to move."
Palm Grove Villas,villa,V1,Total Environment,Bengaluru,Devanahalli,562110,13.2470,77.7080,4,4,3200,4200,4500,4500,,28500000,28000000,29000000,8906,,12000,3.75,East,Ground,Villa Block 1,Ready to move,available,PRM/KA/RERA/1251/308/PR/171019/005102,2 covered + open,"Private garden, Community pool, Clubhouse, 24x7 security",Yes,No,Yes,,,,,,,,,,,,,"4 BHK villa with private garden. East-facing corner plot."
Palm Grove Villas,villa,V2,Total Environment,Bengaluru,Devanahalli,562110,13.2470,77.7080,4,4,3500,4600,4800,4900,,32000000,31500000,32500000,9143,,14000,4.00,North,Ground,Villa Block 1,Ready to move,available,PRM/KA/RERA/1251/308/PR/171019/005102,2 covered + open,"Private pool, Garden, Clubhouse, Smart home",Yes,Yes,Yes,,,,,,,,,,,,,"Flagship villa with private pool and landscaped garden."
Palm Grove Villas,villa,V3,Total Environment,Bengaluru,Devanahalli,562110,13.2470,77.7080,3,3,2600,3400,3600,3600,,23500000,23000000,24000000,9038,,9000,3.46,West,Ground,Villa Block 2,Mar 2027,available,PRM/KA/RERA/1251/308/PR/171019/005102,2 covered,"Garden, Clubhouse, Security",Yes,No,No,,,,,,,,,,,,,"3 BHK entry villa. Possession Mar 2027."
Palm Grove Villas,villa,V4,Total Environment,Bengaluru,Devanahalli,562110,13.2470,77.7080,5,5,4200,5500,5800,5800,,45000000,44000000,46000000,10714,,18000,4.29,South,Ground,Villa Block 3,Dec 2026,sold,PRM/KA/RERA/1251/308/PR/171019/005102,3 covered + open,"Private pool, Home theatre, Garden, Clubhouse",Yes,Yes,Yes,,,,,,,,,,,,,"Ultra-luxury 5 BHK — sold. South-facing park view."
Green Acres Layout,plot,P-101,Shriram Properties,Hyderabad,Kompally,500100,17.5420,78.4820,,,2400,,2400,,,7200000,7000000,7400000,3000,3000000,2000,,East,,Block A,RERA Approved,available,P02400001234,,,,,,Yes,40,Yes,DTCP + RERA,,,,,,,,,"30x40 corner plot on 40ft road. East-facing. Clear title."
Green Acres Layout,plot,P-102,Shriram Properties,Hyderabad,Kompally,500100,17.5420,78.4820,,,2400,,2400,,,6800000,6600000,7000000,2833,2833333,2000,,North,,Block A,RERA Approved,available,P02400001234,,,,,,No,40,Yes,DTCP + RERA,,,,,,,,,"30x40 regular plot. North-facing. Loan available."
Green Acres Layout,plot,P-201,Shriram Properties,Hyderabad,Kompally,500100,17.5420,78.4820,,,3600,,3600,,,10800000,10500000,11000000,3000,4500000,2500,,South,,Block B,RERA Approved,available,P02400001234,,,,,,No,50,Yes,DTCP + RERA,,,,,,,,,"40x60 premium plot on 50ft road."
Green Acres Layout,plot,P-202,Shriram Properties,Hyderabad,Kompally,500100,17.5420,78.4820,,,3600,,3600,,,10500000,10300000,10700000,2917,4375000,2500,,West,,Block B,RERA Approved,sold,P02400001234,,,,,,Yes,50,Yes,DTCP + RERA,,,,,,,,,"40x60 corner plot — booked."
Commercial Hub,commercial,SH-G01,Brigade Group,Pune,Hinjewadi Phase 2,411057,18.5910,73.7380,,,,,,500,,15000000,14500000,15500000,30000,,10000,20.00,East,Ground,Retail Block,Ready to move,available,PMR/PUN/001/2024,,,,,,,,,,35,85000,8.5,18% GST,Bare shell,Yes,20-80 payment plan,"IT park, Metro (planned)",10 AM - 6 PM,"Ground floor high-street retail. 35ft frontage. High footfall."
Commercial Hub,commercial,SH-G02,Brigade Group,Pune,Hinjewadi Phase 2,411057,18.5910,73.7380,,,,,,480,,14200000,13800000,14600000,29583,,9500,19.79,West,Ground,Retail Block,Ready to move,available,PMR/PUN/001/2024,,,,,,,,,,30,78000,8.2,18% GST,Warm shell,Yes,,"IT park, Schools",10 AM - 6 PM,"Corner shop west-facing. Warm shell fit-out."
Commercial Hub,commercial,OF-201,Brigade Group,Pune,Hinjewadi Phase 2,411057,18.5910,73.7380,,,,,,1200,,35000000,34000000,36000000,29167,,15000,12.50,North,2,Office Tower,Dec 2026,available,PMR/PUN/001/2024,,,,,,,,,,,,,125000,7.5,18% GST,Bare shell,Yes,Construction-linked,"IT SEZ, Hotels",By appointment,"Grade-A office 1200 sqft. 2nd floor. Bare shell."
