project_name,property_type,villa_number,bhk,sqft,price,facing,floor,possession_date,status,garden,pool,maintenance,description
Lake Vista,Villa,V1,4,2800,25000000,East,1,Ready,Availlable,Yes,No,8000,"Corner plot, premium location"
Lake Vista,Villa,V2,4,3200,28000000,North,1,Ready,Availlable,Yes,Yes,8000,"Pool facing, garden included"
Lake Vista,Villa,V3,3,2500,22000000,West,1,Dec 2026,Availlable,No,No,7000,"Budget friendly"
Lake Vista,Villa,V4,4,3000,26500000,South,1,Ready,Availlable,Yes,No,8000,"Park view"
Lake Vista,Villa,V5,4,3500,30000000,East,2,Dec 2026,Booked,Yes,Yes,10000,"Premium villa with pool"
Lake Vista,Villa,V6,3,2600,23000000,North,1,Mar 2027,Availlable,No,No,7000,"Upcoming possession"
Sunset Heights,Apartment,1201,2,1050,8500000,East,12,Ready,Availlable,No,No,5000,"High floor, city view"
Sunset Heights,Apartment,1202,2,1050,8300000,West,12,Ready,Availlable,No,No,5000,"Budget option"
Sunset Heights,Apartment,1101,3,1450,12000000,East,11,Ready,Booked,No,No,6000,"Already booked"
Sunset Heights,Apartment,1102,3,1450,11800000,North,11,Ready,Availlable,No,No,6000,"Available for immediate move-in"
Green Acres,Plot,A1,NA,2400,4800000,North,NA,RERA Approved,Availlable,NA,NA,2000,"Corner plot, 40ft road"
Green Acres,Plot,A2,NA,2400,4600000,East,NA,RERA Approved,Availlable,NA,NA,2000,"Regular plot"
Green Acres,Plot,B1,NA,3600,7200000,South,NA,RERA Approved,Availlable,NA,NA,2500,"Large plot, premium"
Green Acres,Plot,B2,NA,3600,7000000,West,NA,RERA Approved,Booked,NA,NA,2500,"Sold out"
Commercial Hub,Commercial,S1,NA,500,15000000,East,Ground,Ready,Availlable,NA,NA,10000,"High street retail"
Commercial Hub,Commercial,S2,NA,500,14500000,West,Ground,Ready,Availlable,NA,NA,10000,"Corner shop"
Commercial Hub,Commercial,O1,NA,1200,35000000,North,1,Dec 2026,Availlable,NA,NA,15000,"Office space"